data_type,thread,iteration,buffer_size,latency,correct
uint64_t,8,16384,128,NA,False
uint64_t,16,128,8,6.909667,True
uint64_t,16,128,16,13.570667,True
uint64_t,16,128,32,26.883667,True
uint64_t,16,128,64,53.530333,True
uint64_t,2,16384,128,9409.342667,True
uint64_t,4,16384,64,4708.591,True
uint64_t,16,128,128,NA,False
uint64_t,8,16384,64,NA,False
uint64_t,16,256,8,13.639333,True
uint64_t,16,256,16,26.952,True
uint64_t,16,256,128,NA,False
uint64_t,16,256,32,53.611,True
uint64_t,16,512,8,27.082333,True
uint64_t,16,512,16,53.734,True
uint64_t,16,256,64,106.924,True
uint64_t,16,512,128,NA,False
uint64_t,8,4096,128,2352.317667,True
uint64_t,16,512,32,107.033333,True
uint64_t,16,1024,8,53.994,True
uint64_t,16,1024,128,NA,False
uint64_t,8,16384,16,1182.909667,True
uint64_t,16,1024,16,107.285667,True
uint64_t,16,512,64,213.599667,True
uint64_t,16,2048,8,107.787,True
uint64_t,16,1024,32,213.789,True
uint64_t,16,2048,128,NA,False
uint64_t,16,2048,16,214.301333,True
uint64_t,16,1024,64,427.016,True
uint64_t,16,4096,8,215.39,True
uint64_t,8,8192,64,2354.068667,True
uint64_t,16,2048,32,427.424333,True
uint64_t,16,4096,128,NA,False
uint64_t,16,4096,16,428.531,True
uint64_t,16,8192,8,430.662333,True
uint64_t,16,2048,64,853.656667,True
uint64_t,16,8192,128,NA,False
uint64_t,16,8192,64,NA,False
uint64_t,16,4096,32,854.605667,True
uint64_t,16,16384,64,NA,False
uint64_t,16,16384,128,NA,False
uint64_t,8,16384,32,2358.058333,True
uint64_t,16,8192,16,856.788,True
uint64_t,16,16384,32,NA,False
uint64_t,16,16384,8,860.835,True
uint64_t,16,4096,64,1707.069,True
uint64_t,16,8192,32,1709.029333,True
uint64_t,16,16384,16,1713.248,True
