data_type,thread,iteration,buffer_size,latency,correct
uint64_t,16,512,128,29.085667,True
uint64_t,16,2048,8,17.735,True
uint64_t,16,2048,16,24.163333,True
uint64_t,16,1024,64,31.759667,True
uint64_t,16,2048,128,NA,False
uint64_t,16,2048,256,NA,False
uint64_t,16,2048,32,37.302333,True
uint64_t,16,4096,64,NA,False
uint64_t,16,4096,8,35.395333,True
uint64_t,16,1024,128,58.049667,True
uint64_t,16,4096,256,NA,False
uint64_t,16,4096,16,48.221,True
uint64_t,16,4096,128,NA,False
uint64_t,16,8192,32,NA,False
uint64_t,16,2048,64,63.340667,True
uint64_t,16,8192,128,NA,False
uint64_t,16,8192,64,NA,False
uint64_t,16,8192,256,NA,False
uint64_t,16,16384,16,NA,False
uint64_t,16,8192,8,70.679333,True
uint64_t,16,16384,64,NA,False
uint64_t,16,16384,128,NA,False
uint64_t,16,4096,32,74.531333,True
uint64_t,16,16384,32,NA,False
uint64_t,16,16384,256,NA,False
uint64_t,16,8192,16,96.358667,True
uint64_t,16,16384,8,141.291,True
